org,repo,number,date,is_merged,state,user
jupyter,jupyter-drive,136,2016-03-23 11:58:16,True,closed,rjw57
jupyter,jupyter.github.io,7,2015-05-04 03:24:41,False,closed,bollwyvl
jupyter,jupyter.github.io,8,2015-05-07 23:18:20,True,closed,Carreau
jupyter,jupyter.github.io,10,2015-06-09 04:39:41,True,closed,Carreau
jupyter,jupyter.github.io,11,2015-06-09 19:16:05,True,closed,Carreau
jupyter,jupyter.github.io,12,2015-08-11 20:52:09,True,closed,minrk
jupyter,jupyter.github.io,13,2015-08-20 18:51:29,True,closed,brettcannon
jupyter,jupyter.github.io,14,2015-08-21 02:49:39,True,closed,fperez
jupyter,jupyter.github.io,15,2015-08-29 03:47:49,True,closed,jdfreder
jupyter,jupyter.github.io,16,2015-08-31 18:51:13,True,closed,ellisonbg
jupyter,jupyter.github.io,17,2015-08-31 18:57:22,True,closed,ellisonbg
jupyter,jupyter.github.io,18,2015-08-31 21:24:05,True,closed,cameronoelsen
jupyter,jupyter.github.io,19,2015-08-31 23:28:00,True,closed,cameronoelsen
jupyter,jupyter.github.io,20,2015-08-31 23:40:51,True,closed,rgbkrk
jupyter,jupyter.github.io,21,2015-09-01 00:01:57,True,closed,cameronoelsen
jupyter,jupyter.github.io,22,2015-09-01 01:18:44,True,closed,willingc
jupyter,jupyter.github.io,23,2015-09-01 17:03:24,True,closed,cameronoelsen
jupyter,jupyter.github.io,25,2015-09-01 18:51:56,True,closed,cameronoelsen
jupyter,jupyter.github.io,26,2015-09-01 20:32:04,True,closed,cameronoelsen
jupyter,jupyter.github.io,27,2015-09-01 20:41:32,True,closed,cameronoelsen
jupyter,jupyter.github.io,30,2015-09-01 23:43:53,True,closed,cameronoelsen
jupyter,jupyter.github.io,32,2015-09-03 17:45:47,True,closed,cameronoelsen
jupyter,jupyter.github.io,35,2015-09-08 01:44:02,True,closed,nicktimko
jupyter,jupyter.github.io,36,2015-09-08 20:04:03,True,closed,cameronoelsen
jupyter,jupyter.github.io,37,2015-09-11 21:41:48,True,closed,cameronoelsen
jupyter,jupyter.github.io,39,2015-09-15 18:11:43,True,closed,cameronoelsen
jupyter,jupyter.github.io,40,2015-09-15 22:56:06,False,closed,cameronoelsen
jupyter,jupyter.github.io,41,2015-09-28 20:50:46,False,closed,cameronoelsen
jupyter,jupyter.github.io,42,2015-09-28 20:54:14,True,closed,cameronoelsen
jupyter,jupyter.github.io,43,2015-10-09 21:30:00,True,closed,Carreau
jupyter,jupyter.github.io,47,2015-10-13 01:01:36,True,closed,cameronoelsen
jupyter,jupyter.github.io,48,2015-10-14 20:48:53,True,closed,cameronoelsen
jupyter,jupyter.github.io,50,2015-10-20 22:59:39,True,closed,Carreau
jupyter,jupyter.github.io,54,2015-10-21 17:44:50,True,closed,Carreau
jupyter,jupyter.github.io,55,2015-10-21 18:53:13,True,closed,Carreau
jupyter,jupyter.github.io,56,2015-10-22 21:19:09,True,closed,cameronoelsen
jupyter,jupyter.github.io,57,2015-10-26 10:40:48,True,closed,minrk
jupyter,jupyter.github.io,58,2015-10-26 22:28:49,True,closed,Carreau
jupyter,jupyter.github.io,59,2015-10-27 03:59:30,True,closed,Carreau
jupyter,jupyter.github.io,61,2015-10-29 03:59:25,True,closed,ehsteve
jupyter,jupyter.github.io,62,2015-10-29 12:51:14,True,closed,ehsteve
jupyter,jupyter.github.io,63,2015-10-29 16:41:58,True,closed,cameronoelsen
jupyter,jupyter.github.io,64,2015-10-29 17:34:43,True,closed,Carreau
jupyter,jupyter.github.io,67,2015-11-20 06:12:23,True,closed,nicktimko
jupyter,jupyter.github.io,68,2016-01-11 05:54:05,False,closed,go-bears
jupyter,jupyter.github.io,69,2016-01-11 06:47:41,True,closed,go-bears
jupyter,jupyter.github.io,70,2016-01-26 19:12:50,True,closed,jhamrick
jupyter,jupyter.github.io,71,2016-01-26 20:00:06,True,closed,jhamrick
jupyter,jupyter.github.io,72,2016-01-27 23:48:33,True,closed,cameronoelsen
jupyter,jupyter.github.io,73,2016-01-28 22:45:03,True,closed,cameronoelsen
jupyter,jupyter.github.io,74,2016-01-28 23:05:56,True,closed,cameronoelsen
jupyter,jupyter.github.io,75,2016-02-05 19:48:46,True,closed,cameronoelsen
jupyter,jupyter.github.io,76,2016-02-05 20:13:58,True,closed,cameronoelsen
jupyter,jupyter.github.io,77,2016-02-17 19:31:31,True,closed,cameronoelsen
jupyter,jupyter.github.io,79,2016-02-26 19:41:17,True,closed,cameronoelsen
jupyter,jupyter.github.io,80,2016-03-09 22:03:53,True,closed,Carreau
jupyter,jupyter.github.io,82,2016-04-02 17:25:34,True,closed,willingc
jupyter,jupyter.github.io,84,2016-04-15 18:39:12,False,closed,cameronoelsen
jupyter,jupyter.github.io,85,2016-04-20 00:30:36,True,closed,jdfreder
jupyter,jupyter.github.io,86,2016-05-18 17:25:30,True,closed,jasongrout
jupyter,jupyter.github.io,89,2016-05-23 20:32:21,True,closed,rgbkrk
jupyter,jupyter.github.io,90,2016-05-24 03:13:31,False,closed,go-bears
jupyter,jupyter.github.io,91,2016-05-24 23:18:49,True,closed,SylvainCorlay
jupyter,jupyter.github.io,93,2016-05-29 05:22:38,True,closed,SylvainCorlay
